Timestep	Index	Mass		X		Y		Z		Vx		Vy		Vz
0	0	1.31538e+29	3.57729e+10	-5.62082e+10	-8.26997e+09	0	0	0
0	1	9.34693e+29	5.94004e+09	-9.30856e+10	3.88327e+09	0	0	0
0	2	7.69819e+27	8.60873e+10	3.73545e+10	-8.66316e+10	0	0	0
0	3	5.26929e+29	5.24396e+10	4.02381e+10	3.07838e+10	0	0	0
0	4	4.74645e+28	-2.69323e+10	5.12821e+10	-3.43532e+10	0	0	0
0	5	9.8255e+29	7.69414e+10	-8.54628e+10	5.06712e+10	0	0	0
0	6	4.36411e+29	-6.66986e+10	-4.50186e+10	-4.45365e+09	0	0	0
0	7	8.97656e+29	-3.61934e+10	9.04579e+08	-8.78871e+10	0	0	0
0	8	4.93977e+29	-2.31716e+10	-8.52502e+10	-8.18534e+10	0	0	0
0	9	9.13817e+29	5.40409e+10	-8.99832e+10	-7.11084e+09	0	0	0
1	0	1.31538e+29	3.57729e+10	-5.62082e+10	-8.26997e+09	0	0	0
1	1	9.34693e+29	5.94004e+09	-9.30856e+10	3.88327e+09	0	0	0
1	2	7.69819e+27	8.60873e+10	3.73545e+10	-8.66316e+10	0	0	0
1	3	5.26929e+29	5.24396e+10	4.02381e+10	3.07838e+10	0	0	0
1	4	4.74645e+28	-2.69323e+10	5.12821e+10	-3.43532e+10	0	0	0
1	5	9.8255e+29	7.69414e+10	-8.54628e+10	5.06712e+10	0	0	0
1	6	4.36411e+29	-6.66986e+10	-4.50186e+10	-4.45365e+09	0	0	0
1	7	8.97656e+29	-3.61934e+10	9.04579e+08	-8.78871e+10	0	0	0
1	8	4.93977e+29	-2.31716e+10	-8.52502e+10	-8.18534e+10	0	0	0
1	9	9.13817e+29	5.40409e+10	-8.99832e+10	-7.11084e+09	0	0	0
2	0	1.31538e+29	3.57729e+10	-5.62082e+10	-8.26997e+09	0	0	0
2	1	9.34693e+29	5.94004e+09	-9.30856e+10	3.88327e+09	0	0	0
2	2	7.69819e+27	8.60873e+10	3.73545e+10	-8.66316e+10	0	0	0
2	3	5.26929e+29	5.24396e+10	4.02381e+10	3.07838e+10	0	0	0
2	4	4.74645e+28	-2.69323e+10	5.12821e+10	-3.43532e+10	0	0	0
2	5	9.8255e+29	7.69414e+10	-8.54628e+10	5.06712e+10	0	0	0
2	6	4.36411e+29	-6.66986e+10	-4.50186e+10	-4.45365e+09	0	0	0
2	7	8.97656e+29	-3.61934e+10	9.04579e+08	-8.78871e+10	0	0	0
2	8	4.93977e+29	-2.31716e+10	-8.52502e+10	-8.18534e+10	0	0	0
2	9	9.13817e+29	5.40409e+10	-8.99832e+10	-7.11084e+09	0	0	0
3	0	1.31538e+29	3.57729e+10	-5.62082e+10	-8.26997e+09	0	0	0
3	1	9.34693e+29	5.94004e+09	-9.30856e+10	3.88327e+09	0	0	0
3	2	7.69819e+27	8.60873e+10	3.73545e+10	-8.66316e+10	0	0	0
3	3	5.26929e+29	5.24396e+10	4.02381e+10	3.07838e+10	0	0	0
3	4	4.74645e+28	-2.69323e+10	5.12821e+10	-3.43532e+10	0	0	0
3	5	9.8255e+29	7.69414e+10	-8.54628e+10	5.06712e+10	0	0	0
3	6	4.36411e+29	-6.66986e+10	-4.50186e+10	-4.45365e+09	0	0	0
3	7	8.97656e+29	-3.61934e+10	9.04579e+08	-8.78871e+10	0	0	0
3	8	4.93977e+29	-2.31716e+10	-8.52502e+10	-8.18534e+10	0	0	0
3	9	9.13817e+29	5.40409e+10	-8.99832e+10	-7.11084e+09	0	0	0
4	0	1.31538e+29	3.57729e+10	-5.62082e+10	-8.26997e+09	0	0	0
4	1	9.34693e+29	5.94004e+09	-9.30856e+10	3.88327e+09	0	0	0
4	2	7.69819e+27	8.60873e+10	3.73545e+10	-8.66316e+10	0	0	0
4	3	5.26929e+29	5.24396e+10	4.02381e+10	3.07838e+10	0	0	0
4	4	4.74645e+28	-2.69323e+10	5.12821e+10	-3.43532e+10	0	0	0
4	5	9.8255e+29	7.69414e+10	-8.54628e+10	5.06712e+10	0	0	0
4	6	4.36411e+29	-6.66986e+10	-4.50186e+10	-4.45365e+09	0	0	0
4	7	8.97656e+29	-3.61934e+10	9.04579e+08	-8.78871e+10	0	0	0
4	8	4.93977e+29	-2.31716e+10	-8.52502e+10	-8.18534e+10	0	0	0
4	9	9.13817e+29	5.40409e+10	-8.99832e+10	-7.11084e+09	0	0	0
