Timestep: 0
Index	Mass		X		Y		Z		Vx		Vy		Vz
3	5.26929e+29	5.24396e+10	4.02381e+10	3.07838e+10	-0.088742	-0.000211489	-5.34662e-05
4	4.74645e+28	-2.69323e+10	5.12821e+10	-3.43532e+10	0.0199678	-0.000200027	0.00017068
5	9.8255e+29	7.69414e+10	-8.54628e+10	5.06712e+10	-0.102733	0.000113238	-0.000370081
6	4.36411e+29	-6.66986e+10	-4.50186e+10	-4.45365e+09	0.0712718	-0.000246131	0.000115535
7	8.97656e+29	-3.61934e+10	9.04579e+08	-8.78871e+10	0.080493	-0.000227198	0.000464124
8	4.93977e+29	-2.31716e+10	-8.52502e+10	-8.18534e+10	0.0266942	0.000568745	0.000735717
9	9.13817e+29	5.40409e+10	-8.99832e+10	-7.11084e+09	-0.0812721	0.000546701	0.00109908

Timestep: 6
Index	Mass		X		Y		Z		Vx		Vy		Vz
0	1.31538e+29	3.57729e+10	-5.62082e+10	-8.26997e+09	0.0811245	0	0
1	9.34693e+29	5.94004e+09	-9.30856e+10	3.88327e+09	-0.0706102	0.000193027	-6.36135e-05
2	7.69819e+27	8.60873e+10	3.73545e+10	-8.66316e+10	-0.218175	-0.000126243	9.11922e-05
3	5.26929e+29	5.24396e+10	4.02381e+10	3.07838e+10	-0.103532	-0.000246738	-6.23772e-05
4	4.74645e+28	-2.69323e+10	5.12821e+10	-3.43532e+10	0.0232958	-0.000233365	0.000199127
5	9.8255e+29	7.69414e+10	-8.54628e+10	5.06712e+10	-0.119855	0.000132111	-0.000431761
6	4.36411e+29	-6.66986e+10	-4.50186e+10	-4.45365e+09	0.0831505	-0.000287153	0.00013479
7	8.97656e+29	-3.61934e+10	9.04579e+08	-8.78871e+10	0.0939084	-0.000265064	0.000541478
8	4.93977e+29	-2.31716e+10	-8.52502e+10	-8.18534e+10	0.0311433	0.000663536	0.000858337
9	9.13817e+29	5.40409e+10	-8.99832e+10	-7.11084e+09	-0.0948174	0.000637818	0.00128226

Timestep: 7
Index	Mass		X		Y		Z		Vx		Vy		Vz
0	1.31538e+29	3.57729e+10	-5.62082e+10	-8.26997e+09	0.0927137	0	0
1	9.34693e+29	5.94004e+09	-9.30856e+10	3.88327e+09	-0.0806974	0.000220602	-7.27011e-05
2	7.69819e+27	8.60873e+10	3.73545e+10	-8.66316e+10	-0.249343	-0.000144278	0.00010422
3	5.26929e+29	5.24396e+10	4.02381e+10	3.07838e+10	-0.118323	-0.000281986	-7.12883e-05
4	4.74645e+28	-2.69323e+10	5.12821e+10	-3.43532e+10	0.0266238	-0.000266703	0.000227573
